date,Intel,Johnson & Johnson
1/21/20,60.55,149.27
1/22/20,62.73,148.25
1/23/20,63.32,148.53
1/24/20,68.47,148.32
1/27/20,65.69,148.75
1/28/20,67.31,149.5
1/29/20,66.33,150.54
1/30/20,66.47,150.36
1/31/20,63.93,148.87
2/3/20,64.42,150.17
2/4/20,65.46,151.6
2/5/20,67.34,153.99
2/6/20,67.09,153.53
2/7/20,66.02,151.89
2/10/20,66.39,151.86
2/11/20,67.41,151.99
2/12/20,67.46,151.09
2/13/20,67.44,150.09
2/14/20,67.27,150.13
2/18/20,66.14,149.14
2/19/20,67.11,148.94
2/20/20,65.45,148.37
2/21/20,64.34,149.93
2/24/20,61.76,145.91
2/25/20,59.73,144.65
2/26/20,59.65,143.68
2/27/20,55.83,139.12
2/28/20,55.52,134.48
3/2/20,58.18,140.02
3/3/20,55.97,135.59
3/4/20,58.68,143.48
3/5/20,56.96,142.01
3/6/20,55.77,142.03
3/9/20,50.85,136.44
3/10/20,53.98,141.64
3/11/20,51.66,131.8
3/12/20,45.54,125.41
3/13/20,54.43,134.29
3/16/20,44.61,127.13
3/17/20,50.08,136.59
3/18/20,47.61,134.96
3/19/20,45.94,127.05
3/20/20,45.83,119.89
3/23/20,49.58,111.14
3/24/20,52.4,119.18
3/25/20,51.26,119.4
3/26/20,55.54,126.57
3/27/20,52.37,123.16
3/30/20,55.49,133.01
3/31/20,54.12,131.13
4/1/20,51.88,128.81
4/2/20,54.35,133.15
4/3/20,54.13,134.17
4/6/20,58.43,139.76
4/7/20,58.4,137.48
4/8/20,58.98,143.26
4/9/20,57.14,141.23
4/13/20,58.7,139.77
4/14/20,60.66,146.03
4/15/20,58.87,147.66
4/16/20,60.79,149.67
4/17/20,60.36,152.02
4/20/20,59.18,151.67
4/21/20,56.36,149.68
4/22/20,60.1,152.99
4/23/20,59.04,155.51
4/24/20,59.26,154.86
4/27/20,59.47,154.29
4/28/20,58.75,151.39
4/29/20,61.8,150.24
4/30/20,59.98,150.04
5/1/20,57.47,148.29
5/4/20,57.99,148.27
5/5/20,58.75,149.5
5/6/20,59.18,148.08
5/7/20,59.17,147.59
5/8/20,59.67,148.7
5/11/20,60.13,149.11
5/12/20,58.39,147.14
5/13/20,57.74,147.13
5/14/20,59.08,147.64
5/15/20,58.28,150.44
5/18/20,59.92,150.52
5/19/20,60.29,149.02
5/20/20,63.1,147.68
5/21/20,61.98,146.71
5/22/20,62.26,144.37
5/26/20,62.34,144.56
5/27/20,63.56,144.89
5/28/20,61.7,146.97
5/29/20,62.93,148.75
6/1/20,61.86,147.19
6/2/20,62.12,148.25
6/3/20,61.93,148.65
6/4/20,62.97,146.73
6/5/20,64.34,147.3
6/8/20,63.67,146.77
6/9/20,63.04,145.96
6/10/20,63.87,147.8
6/11/20,59.7,140.87
6/12/20,59.33,142.15
6/15/20,60.1,141.25
6/16/20,60.4,144.46
6/17/20,60.49,144.02
6/18/20,60.08,143.41
6/19/20,59.62,143.83
6/22/20,60.09,143.39
6/23/20,59.92,142.86
6/24/20,59.09,139.82
6/25/20,58.51,139.67
6/26/20,57.5,137.81
6/29/20,58.27,139.04
6/30/20,59.83,140.63
7/1/20,58.81,140.38
7/2/20,59.13,140.97
7/6/20,59.54,142.98
7/7/20,58.31,142.85
7/8/20,58.61,143.27
7/9/20,58.42,142.49
7/10/20,59.53,142.37
7/13/20,58.58,145.21
7/14/20,58.98,147.92
7/15/20,59.03,148.26
7/16/20,59.14,149.25
7/17/20,60.0,149.35
7/20/20,61.15,149.6
7/21/20,60.7,149.74
7/22/20,61.05,150.01
7/23/20,60.4,149.61
7/24/20,50.59,148.12
7/27/20,49.57,147.18
7/28/20,49.24,146.83
7/29/20,48.07,146.54
7/30/20,47.99,146.84
7/31/20,47.73,145.76
8/3/20,48.3,147.35
8/4/20,49.13,147.22
8/5/20,48.92,148.4
8/6/20,48.57,147.55
8/7/20,48.03,148.6
8/10/20,49.22,148.03
8/11/20,48.19,146.97
8/12/20,49.19,149.66
8/13/20,48.56,148.0
8/14/20,48.89,148.24
8/17/20,48.93,148.99
8/18/20,48.65,150.09
8/19/20,48.33,150.39
8/20/20,49.17,151.42
8/21/20,49.28,152.76
8/24/20,49.14,152.15
8/25/20,49.43,152.06
8/26/20,49.55,152.3
8/27/20,49.4,152.98
8/28/20,50.43,153.64
8/31/20,50.95,153.41
9/1/20,50.79,151.52
9/2/20,52.25,153.83
9/3/20,50.39,149.55
9/4/20,50.08,148.59
9/8/20,48.91,147.26
9/9/20,49.62,149.7
9/10/20,48.96,146.91
9/11/20,49.28,147.78
9/14/20,49.41,148.35
9/15/20,50.0,148.89
9/16/20,50.37,148.4
9/17/20,50.32,147.17
9/18/20,49.89,149.18
9/21/20,49.72,145.1
9/22/20,49.95,144.21
9/23/20,48.82,144.44
9/24/20,49.16,144.67
9/25/20,49.94,145.66
9/28/20,51.43,147.11
9/29/20,51.19,147.06
9/30/20,51.78,148.88
10/1/20,52.24,147.32
10/2/20,51.01,146.24
10/5/20,51.69,148.23
10/6/20,51.37,146.26
10/7/20,52.67,147.88
10/8/20,53.37,148.89
10/9/20,52.82,150.97
10/12/20,53.88,151.84
10/13/20,53.83,148.36
10/14/20,53.55,148.1
10/15/20,53.85,147.19
10/16/20,54.16,148.1
10/19/20,54.58,144.32
10/20/20,53.43,144.55
10/21/20,53.5,143.93
10/22/20,53.9,145.08
10/23/20,48.2,145.24
10/26/20,46.72,143.97
10/27/20,45.64,143.15
10/28/20,44.25,138.36
10/29/20,44.11,137.19
10/30/20,44.28,137.11
11/2/20,44.46,138.69
11/3/20,44.85,138.5
11/4/20,45.7,139.4
11/5/20,45.68,139.76
11/6/20,45.39,142.25
11/9/20,45.6,146.08
11/10/20,45.44,148.28
11/11/20,46.35,147.8
11/12/20,44.95,148.3
11/13/20,45.46,149.9
11/16/20,46.19,150.85
11/17/20,45.53,149.35
11/18/20,45.06,147.37
11/19/20,45.62,147.14
11/20/20,45.39,146.36
11/23/20,46.06,143.87
11/24/20,47.01,143.87
11/25/20,47.05,143.68
11/27/20,47.45,144.0
11/30/20,48.35,144.68
12/1/20,49.56,147.45
12/2/20,49.9,148.14
12/3/20,50.99,149.0
12/4/20,51.99,150.27
12/7/20,50.2,148.97
12/8/20,50.69,151.55
12/9/20,50.07,153.1
12/10/20,50.26,152.25
12/11/20,49.73,152.95
12/14/20,50.47,149.07
12/15/20,50.67,150.57
12/16/20,51.12,149.67
12/17/20,50.65,153.62
12/18/20,47.46,154.51
12/21/20,46.36,153.02
12/22/20,46.17,152.72
12/23/20,46.57,151.94
12/24/20,47.07,152.47
12/28/20,47.07,153.19
12/29/20,49.39,154.14
12/30/20,48.75,156.05
12/31/20,49.82,157.38
1/4/21,49.67,156.5
1/5/21,50.61,158.34
1/6/21,51.1,159.83
1/7/21,52.19,160.37
1/8/21,51.65,160.04
1/11/21,51.54,159.37
1/12/21,53.24,158.13
1/13/21,56.95,157.89
1/14/21,59.25,160.65
1/15/21,57.58,160.3
1/19/21,57.99,162.78
1/20/21,58.67,162.38
1/21/21,62.46,161.73
1/22/21,56.66,163.55
1/25/21,55.44,165.98
1/26/21,55.21,170.48
1/27/21,53.59,167.88
1/28/21,56.07,169.16
1/29/21,55.51,163.13
2/1/21,56.69,162.71
2/2/21,58.0,161.25
2/3/21,57.68,160.5
2/4/21,58.79,161.99
2/5/21,58.18,164.45
2/8/21,59.16,164.92
2/9/21,58.78,166.27
2/10/21,58.86,166.81
2/11/21,60.66,166.06
2/12/21,61.81,166.58
2/16/21,62.47,165.07
2/17/21,61.85,165.66
2/18/21,61.61,165.74
2/19/21,63.01,162.98
2/22/21,60.71,161.87
2/23/21,61.12,160.44
2/24/21,63.19,162.59
2/25/21,60.4,162.76
2/26/21,60.78,158.46
3/1/21,62.88,159.32
3/2/21,61.24,159.02
3/3/21,59.9,156.22
3/4/21,58.33,153.07
3/5/21,60.74,156.1
3/8/21,59.85,157.4
3/9/21,62.67,157.7
3/10/21,62.25,159.15
3/11/21,63.31,159.14
3/12/21,62.9,159.6
3/15/21,63.79,160.42
3/16/21,64.78,161.37
3/17/21,65.78,160.77
3/18/21,63.73,160.47
3/19/21,63.76,160.04
3/22/21,65.63,160.5
3/23/21,63.48,160.35
3/24/21,62.04,161.91
3/25/21,62.02,161.97
3/26/21,64.87,164.93
3/29/21,64.5,166.04
3/30/21,63.77,165.01
3/31/21,64.0,164.35
4/1/21,64.55,162.83
4/5/21,66.54,163.43
4/6/21,65.56,163.39
4/7/21,66.25,163.61
4/8/21,67.05,162.97
4/9/21,68.26,161.25
4/12/21,65.41,161.64
4/13/21,65.22,159.48
4/14/21,64.19,159.92
4/15/21,65.02,160.39
4/16/21,64.75,162.24
4/19/21,63.63,162.69
4/20/21,62.7,166.48
4/21/21,63.7,166.59
4/22/21,62.57,165.18
4/23/21,59.24,165.52
4/26/21,58.76,164.12
4/27/21,57.97,163.18
4/28/21,57.62,161.98
4/29/21,58.28,164.2
4/30/21,57.53,162.73
5/3/21,57.26,165.21
5/4/21,56.9,167.77
5/5/21,56.85,167.07
5/6/21,57.19,167.74
5/7/21,57.67,168.5
5/10/21,55.97,170.27
5/11/21,55.04,168.88
5/12/21,53.62,168.2
5/13/21,54.01,169.96
5/14/21,55.35,170.22
5/17/21,55.33,170.39
5/18/21,54.84,170.45
5/19/21,55.36,170.08
5/20/21,55.95,171.07
5/21/21,56.08,170.96
5/24/21,56.96,170.55
5/25/21,56.87,170.08
5/26/21,56.92,169.07
5/27/21,57.73,168.81
5/28/21,57.12,169.25
6/1/21,56.89,165.53
6/2/21,57.48,166.2
6/3/21,56.24,166.04
6/4/21,57.37,165.97
6/7/21,57.09,164.84
6/8/21,57.0,163.39
6/9/21,57.0,165.59
6/10/21,57.38,167.08
6/11/21,57.85,164.96
6/14/21,58.19,165.37
6/15/21,57.99,164.49
6/16/21,57.22,164.43
6/17/21,57.18,165.22
6/18/21,55.67,161.98
6/21/21,55.87,163.84
6/22/21,55.87,163.62
6/23/21,55.26,162.63
6/24/21,56.07,163.37
6/25/21,55.91,164.21
6/28/21,57.48,164.02
6/29/21,56.75,164.03
6/30/21,56.14,164.74
7/1/21,56.01,165.96
7/2/21,56.76,168.98
7/6/21,56.09,167.97
7/7/21,55.96,169.41
7/8/21,55.39,169.08
7/9/21,55.99,169.75
7/12/21,56.73,169.48
7/13/21,56.87,169.27
7/14/21,56.52,170.42
7/15/21,55.81,168.37
7/16/21,54.97,168.1
7/19/21,54.64,166.88
7/20/21,55.24,168.45
7/21/21,56.23,169.49
7/22/21,55.96,169.98
7/23/21,53.0,171.79
7/26/21,54.31,171.87
7/27/21,53.18,172.66
7/28/21,53.07,172.18
7/29/21,53.7,172.18
7/30/21,53.72,172.2
8/2/21,53.68,172.27
8/3/21,54.06,174.39
8/4/21,53.9,173.36
8/5/21,53.89,173.69
8/6/21,53.92,173.11
8/9/21,54.05,173.71
8/10/21,53.94,173.77
8/11/21,54.14,173.8
8/12/21,53.54,175.2
8/13/21,53.49,176.25
8/16/21,53.47,177.84
8/17/21,52.69,179.47
8/18/21,52.19,177.19
8/19/21,52.44,178.57
8/20/21,52.01,179.44
8/23/21,53.23,177.61
8/24/21,53.81,175.39
8/25/21,53.81,174.23
8/26/21,53.13,173.3
8/27/21,53.89,172.93
8/30/21,53.94,173.66
8/31/21,54.06,173.13
9/1/21,53.67,173.74
9/2/21,53.73,174.93
9/3/21,53.51,175.04
9/7/21,53.65,172.32
9/8/21,53.57,171.9
9/9/21,53.4,168.07
9/10/21,53.84,166.97
9/13/21,54.99,165.8
9/14/21,54.52,164.8
9/15/21,55.12,165.42
9/16/21,54.83,165.22
9/17/21,54.26,164.75
9/20/21,52.98,163.81
9/21/21,52.87,164.53
9/22/21,53.5,163.93
9/23/21,54.03,164.86
9/24/21,54.22,164.36
9/27/21,54.66,163.17
9/28/21,54.0,162.81
9/29/21,53.49,164.02
9/30/21,53.28,161.5
10/1/21,53.86,160.47
10/4/21,53.47,159.22
10/5/21,53.95,159.58
10/6/21,53.98,159.91
10/7/21,54.18,161.34
10/8/21,53.81,160.93
10/11/21,53.44,160.25
10/12/21,52.17,157.69
10/13/21,52.26,159.2
10/14/21,53.9,160.11
10/15/21,54.46,161.3
10/18/21,54.47,160.12
10/19/21,55.21,163.87
10/20/21,55.37,163.78
10/21/21,56.0,163.4
10/22/21,49.46,163.72
10/25/21,49.41,164.08
10/26/21,48.28,165.75
10/27/21,47.89,163.74
10/28/21,48.08,162.85
10/29/21,49.0,162.88
11/1/21,49.55,163.02
11/2/21,49.86,165.59
11/3/21,50.39,165.06
11/4/21,50.31,164.6
11/5/21,50.92,163.43
11/8/21,51.55,162.87
11/9/21,51.2,162.51
11/10/21,50.76,164.27
11/11/21,50.53,163.06
11/12/21,50.31,165.01
11/15/21,50.32,163.52
11/16/21,50.61,162.67
11/17/21,50.23,163.28
11/18/21,49.68,162.4
11/19/21,49.52,162.89
11/22/21,49.83,159.7
11/23/21,49.1,160.69
11/24/21,49.76,160.24
11/26/21,48.78,159.2
11/29/21,50.0,159.75
11/30/21,49.2,155.93
12/1/21,48.6,158.08
12/2/21,49.5,157.09
12/3/21,49.25,159.38
12/6/21,50.99,162.94
12/7/21,52.57,163.36
12/8/21,51.75,164.34
12/9/21,50.48,165.9
12/10/21,50.59,165.49
12/13/21,50.0,168.45
12/14/21,49.7,170.29
12/15/21,50.67,171.14
12/16/21,50.83,173.01
12/17/21,50.62,168.23
12/20/21,49.6,167.75
12/21/21,50.77,167.21
12/22/21,50.97,167.93
12/23/21,51.31,168.25
12/27/21,51.94,169.67
12/28/21,51.76,170.35
12/29/21,51.83,171.55
12/30/21,51.74,172.31
12/31/21,51.5,171.07
1/3/22,53.21,171.54
1/4/22,53.14,171.08
1/5/22,53.87,172.22
1/6/22,54.01,171.63
1/7/22,53.44,173.95
1/10/22,55.21,173.09
1/11/22,55.91,171.25
1/12/22,55.74,169.79
1/13/22,54.94,168.76
1/14/22,55.7,167.84
1/18/22,54.76,167.1
1/19/22,53.62,166.58
1/20/22,52.04,165.25
1/21/22,52.04,164.87
